facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
Ditmars Playground,Park,NYC Parks,Operational,Yes,40.771560,-73.907300,"{'type': 'Point', 'coordinates': [-73.9073, 40.77156]}",3,72,4,39,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Stroud Playground,Park,NYC Parks,Operational,Yes,40.674990,-73.962200,"{'type': 'Point', 'coordinates': [-73.9622, 40.67499]}",2,49,48,16,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"North Forest Park Library, QPL",Library,QPL,Operational,Yes,40.711165,-73.853674,"{'type': 'Point', 'coordinates': [-73.853674, 40.711165]}",3,70,28,40,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/north-forest-park'},"Yes, a key is needed to enter"
Soundview Park,Park,NYC Parks,Operational,Yes,40.818020,-73.870400,"{'type': 'Point', 'coordinates': [-73.8704, 40.81802]}",5,26,31,58,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Quarry Ballfields,Park,NYC Parks,Operational,Yes,40.850200,-73.890000,"{'type': 'Point', 'coordinates': [-73.89, 40.8502]}",5,31,22,35,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Edmonds Playground,Park,NYC Parks,Operational,Yes,40.689250,-73.971700,"{'type': 'Point', 'coordinates': [-73.9717, 40.68925]}",2,55,48,68,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Coney Island Beach Zone 4b,Park,NYC Parks,Operational,Yes,40.573410,-73.975900,"{'type': 'Point', 'coordinates': [-73.9759, 40.57341]}",2,35,45,21,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Castlewood Playground,Park,NYC Parks,Operational,Yes,40.749940,-73.720800,"{'type': 'Point', 'coordinates': [-73.7208, 40.74994]}",3,63,16,63,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Marc And Jason's Playground,Park,NYC Parks,Operational,Yes,40.663490,-73.949900,"{'type': 'Point', 'coordinates': [-73.9499, 40.66349]}",2,44,11,17,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Ancient Playground,Park,NYC Parks,Operational,Yes,40.781000,-73.961600,"{'type': 'Point', 'coordinates': [-73.9616, 40.781]}",4,13,19,19,,,Year Round,"8am-4pm, Open later seasonally",,
Corporal John A. Seravalli Playground,Park,NYC Parks,Operational,Yes,40.738940,-74.004700,"{'type': 'Point', 'coordinates': [-74.0047, 40.73894]}",4,3,10,57,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Jennifer's Playground,Park,NYC Parks,Operational,Yes,40.620340,-74.163500,"{'type': 'Point', 'coordinates': [-74.1635, 40.62034]}",1,75,13,4,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Virginia Playground,Park,NYC Parks,Operational,Yes,40.834330,-73.862200,"{'type': 'Point', 'coordinates': [-73.8622, 40.83433]}",5,26,31,58,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Stanley Isaacs Playground,Park,NYC Parks,Operational,Yes,40.782930,-73.944600,"{'type': 'Point', 'coordinates': [-73.9446, 40.78293]}",4,11,1,23,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
Bayswater Playground,Park,NYC Parks,Operational,Yes,40.598770,-73.767500,"{'type': 'Point', 'coordinates': [-73.7675, 40.59877]}",3,59,47,51,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Brooklyn Central Library, BPL",Library,BPL,Operational,Yes,40.672352,-73.968226,"{'type': 'Point', 'coordinates': [-73.968226, 40.672352]}",2,50,48,13,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Monday	9 am - 8 pm
Tuesday	9 am - 8 pm
Wednesday	9 am - 8 pm
Thursday	9 am - 8 pm
Friday	9 am - 6 pm
Saturday	9 am - 6 pm
Sunday	1 pm - 5 pm",{'url': 'https://www.bklynlibrary.org/locations/central'},
Cedar Playground,Park,NYC Parks,Operational,Yes,40.855280,-73.917500,"{'type': 'Point', 'coordinates': [-73.9175, 40.85528]}",5,29,42,6,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Conservatory Garden,Park,NYC Parks,Operational,Yes,40.794190,-73.952700,"{'type': 'Point', 'coordinates': [-73.9527, 40.79419]}",4,13,19,19,,,Year Round,"8am-4pm, Open later seasonally",,
Playground Ninety,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.757280,-73.878300,"{'type': 'Point', 'coordinates': [-73.8783, 40.75728]}",3,73,5,65,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Central Park West,Park,NYC Parks,Operational,,40.769190,-73.980800,"{'type': 'Point', 'coordinates': [-73.9808, 40.76919]}",4,13,19,19,,,Seasonal,"8am-4pm, Open later seasonally",,
Silver Lake Park Playground,Park,NYC Parks,Operational,Yes,40.628280,-74.099000,"{'type': 'Point', 'coordinates': [-74.099, 40.62828]}",1,74,13,4,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
South Shore Restaurant,Park,NYC Parks Concessionaire,Operational,"""Yes, in women's restroom only""",40.551624,-74.204853,"{'type': 'Point', 'coordinates': [-74.204853, 40.551624]}",1,77,9,15,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,9:00am-5:00pm,,
Leif Ericson Park Playground,Park,NYC Parks,Operational,Yes,40.631420,-74.012900,"{'type': 'Point', 'coordinates': [-74.0129, 40.63142]}",2,41,44,10,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Brooklyn Bridge Park Pier 1,Park,Brooklyn Bridge Park,Operational,,40.702670,-73.995220,"{'type': 'Point', 'coordinates': [-73.99522, 40.70267]}",2,54,38,68,Fully Accessible,,Year Round,6am-1am,,
Vernon Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.757030,-73.947400,"{'type': 'Point', 'coordinates': [-73.9474, 40.75703]}",3,72,33,39,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
North Park Phase 1,Park,NYC Parks,Operational,,40.587700,-74.185269,"{'type': 'Point', 'coordinates': [-74.185269, 40.5877]}",1,75,14,30,,,Year Round,"8am-4pm, Open later seasonally",,
Ciccarone Park,Park,NYC Parks,Operational,Yes,40.855900,-73.886600,"{'type': 'Point', 'coordinates': [-73.8866, 40.8559]}",5,31,22,35,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Margaret I. Carman Green - Weeping Beech,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.763500,-73.824700,"{'type': 'Point', 'coordinates': [-73.8247, 40.7635]}",3,67,3,22,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Glenwood Playground,Park,NYC Parks,Operational,Yes,40.636660,-73.920100,"{'type': 'Point', 'coordinates': [-73.9201, 40.63666]}",2,38,26,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Midwood Library, BPL",Library,BPL,Operational,Yes,40.625902,-73.960316,"{'type': 'Point', 'coordinates': [-73.960316, 40.625902]}",2,43,18,60,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	1 pm - 5 pm",{'url': 'https://www.bklynlibrary.org/locations/midwood'},
"Ottendorfer Library, NYPL",Library,NYPL,Operational,Yes,40.728915,-73.987744,"{'type': 'Point', 'coordinates': [-73.987744, 40.728915]}",4,5,50,70,Not Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/ottendorfer'},
William Sheridan Playground,Park,NYC Parks,Operational,No,40.715270,-73.964000,"{'type': 'Point', 'coordinates': [-73.964, 40.71527]}",2,56,30,36,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Lieutenant John H. Martinson Playground,Park,NYC Parks,Operational,Yes,40.537190,-74.162400,"{'type': 'Point', 'coordinates': [-74.1624, 40.53719]}",1,77,9,15,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Windsor Park Library, QPL",Library,QPL,Operational,Yes,40.734513,-73.755621,"{'type': 'Point', 'coordinates': [-73.755621, 40.734513]}",3,69,16,26,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/windsor-park'},"Yes, a key is needed to enter"
East Parade Grounds,Park,NYC Parks,Operational,Yes,40.651900,-73.965700,"{'type': 'Point', 'coordinates': [-73.9657, 40.6519]}",2,43,11,60,Not Accessible,Multi-Stall W/M Restrooms,Year Round,7:30am-5:00pm,,
Tall Oak Playground,Park,NYC Parks,Operational,Yes,40.746340,-73.758300,"{'type': 'Point', 'coordinates': [-73.7583, 40.74634]}",3,69,16,26,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
The Pearly Gates,Park,NYC Parks,Operational,No,40.838780,-73.845700,"{'type': 'Point', 'coordinates': [-73.8457, 40.83878]}",5,28,12,43,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Middle Long Meadow,Park,NYC Parks,Operational,Yes,40.665570,-73.971600,"{'type': 'Point', 'coordinates': [-73.9716, 40.66557]}",2,50,27,13,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
The High Line Zone 1,Park,NYC Parks,Operational,,40.743640,-74.006900,"{'type': 'Point', 'coordinates': [-74.0069, 40.74364]}",4,6,10,12,,,Year Round,"8am-4pm, Open later seasonally",,
Queensboro Oval Indoor Tennis,Park,NYC Parks Concessionaire,Operational,No,40.759246,-73.960029,"{'type': 'Point', 'coordinates': [-73.960029, 40.759246]}",4,11,1,23,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,7:00am-11:00pm,,
"Broad Channel Library, QPL",Library,QPL,Operational,Yes,40.600740,-73.820054,"{'type': 'Point', 'coordinates': [-73.820054, 40.60074]}",3,58,41,51,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/broad-channel'},"Yes, a key is needed to enter"
Hunter's Point South Park Zone 1,Park,NYC Parks,Operational,Yes,40.741980,-73.960800,"{'type': 'Point', 'coordinates': [-73.9608, 40.74198]}",3,66,33,53,,,Year Round,"8am-4pm, Open later seasonally",,
Greenwood Playground,Park,NYC Parks,Operational,Yes,40.650470,-73.976600,"{'type': 'Point', 'coordinates': [-73.9766, 40.65047]}",2,45,27,9,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Windsor Terrace Library, BPL",Library,BPL,Operational,Yes,40.648758,-73.976760,"{'type': 'Point', 'coordinates': [-73.97676, 40.648758]}",2,45,27,9,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/windsor-terrace'},
Augustus St. Gaudens Playground,Park,NYC Parks,Operational,Yes,40.735640,-73.982100,"{'type': 'Point', 'coordinates': [-73.9821, 40.73564]}",4,7,50,71,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Sgt. William Dougherty Playground,Park,NYC Parks,Operational,Yes,40.723530,-73.937000,"{'type': 'Point', 'coordinates': [-73.937, 40.72353]}",2,57,30,36,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Macomb's Bridge Library, NYPL",Library,NYPL,Operational,Yes,40.825536,-73.935349,"{'type': 'Point', 'coordinates': [-73.935349, 40.825536]}",4,20,36,18,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/macombs-bridge'},
210 St Playground,Park,NYC Parks,Operational,No,40.739240,-73.765100,"{'type': 'Point', 'coordinates': [-73.7651, 40.73924]}",3,65,16,25,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Linden Park,Park,NYC Parks,Operational,Yes,40.658260,-73.887500,"{'type': 'Point', 'coordinates': [-73.8875, 40.65826]}",2,47,25,45,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Pink Playground,Park,NYC Parks,Operational,Yes,40.666500,-73.862500,"{'type': 'Point', 'coordinates': [-73.8625, 40.6665]}",2,47,25,45,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Flushing Meadows Grand Bay,Park,NYC Parks Concessionaire,Operational,No,40.761118,-73.857545,"{'type': 'Point', 'coordinates': [-73.857545, 40.761118]}",3,68,21,65,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,9:00am-5:00pm,,
"Red Hook Library, BPL",Library,BPL,Operational,,40.675249,-74.010344,"{'type': 'Point', 'coordinates': [-74.010344, 40.675249]}",2,48,7,14,Limited Accessibility,Single-Stall All Gender Restroom(s),Year Round,10 am to 5 pm on weedays,{'url': 'https://www.bklynlibrary.org/locations/red-hook'},"Red Hook Library is in a temporary interim space 362 Van Brunt Street
Brooklyn, NY 11231"
MacArthur Playground,Park,NYC Parks,Operational,Yes,40.752410,-73.965000,"{'type': 'Point', 'coordinates': [-73.965, 40.75241]}",4,9,51,71,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Loreto Playground,Park,NYC Parks,Operational,No,40.848860,-73.852000,"{'type': 'Point', 'coordinates': [-73.852, 40.84886]}",5,32,12,59,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Fidler-Wyckoff House Park,Park,NYC Parks,Operational,,40.644690,-73.920900,"{'type': 'Point', 'coordinates': [-73.9209, 40.64469]}",2,40,26,61,Fully Accessible,,Year Round,Tuesday-Saturday,,
Marine Park Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.599348,-73.912962,"{'type': 'Point', 'coordinates': [-73.912962, 40.599348]}",2,38,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,6:00am-7:00pm Daily,,
Hester St Playground,Park,NYC Parks,Operational,Yes,40.716730,-73.994100,"{'type': 'Point', 'coordinates': [-73.9941, 40.71673]}",4,2,32,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Adams Street Library, BPL",Library,BPL,Operational,Yes,40.704143,-73.987999,"{'type': 'Point', 'coordinates': [-73.987999, 40.704143]}",2,54,38,68,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/adams-street'},
St. Andrew's Playground,Park,NYC Parks,Operational,Yes,40.678810,-73.942000,"{'type': 'Point', 'coordinates': [-73.942, 40.67881]}",2,51,49,69,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Grand Central Parkway Gas,Park,NYC Parks Concessionaire,Operational,No,40.767711,-73.865189,"{'type': 'Point', 'coordinates': [-73.865189, 40.767711]}",3,73,21,65,Not Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,24 Hours,,
Crocheron Park Zone 1,Park,NYC Parks,Operational,Yes,40.772050,-73.769400,"{'type': 'Point', 'coordinates': [-73.7694, 40.77205]}",3,69,20,26,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Mazzei Playground,Park,NYC Parks,Operational,Yes,40.862510,-73.858200,"{'type': 'Point', 'coordinates': [-73.8582, 40.86251]}",5,32,12,59,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Haggerty Park,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.713140,-73.758100,"{'type': 'Point', 'coordinates': [-73.7581, 40.71314]}",3,61,6,41,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
227th Street Playground,Park,NYC Parks,Operational,Yes,40.890830,-73.864100,"{'type': 'Point', 'coordinates': [-73.8641, 40.89083]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Albert J. Parham Playground,Park,NYC Parks,Operational,Yes,40.690230,-73.970500,"{'type': 'Point', 'coordinates': [-73.9705, 40.69023]}",2,55,48,68,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Clearview Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.781915,-73.788413,"{'type': 'Point', 'coordinates': [-73.788413, 40.781915]}",3,67,20,22,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,6:00am-8:00pm Daily,,
Bethesda Terrace,Park,NYC Parks,Operational,No,40.773520,-73.971100,"{'type': 'Point', 'coordinates': [-73.9711, 40.77352]}",4,13,19,19,,,Seasonal,"8am-4pm, Open later seasonally",,
Murray Playground,Park,NYC Parks,Operational,Yes,40.747260,-73.948900,"{'type': 'Point', 'coordinates': [-73.9489, 40.74726]}",3,66,33,53,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
"Clason's Point Library, NYPL",Library,NYPL,Operational,Yes,40.830001,-73.875022,"{'type': 'Point', 'coordinates': [-73.875022, 40.830001]}",5,26,31,58,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/clasons-point'},
Henry Hudson Park,Park,NYC Parks,Operational,Yes,40.881060,-73.920600,"{'type': 'Point', 'coordinates': [-73.9206, 40.88106]}",5,33,40,48,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Arthur Kill Restaurant,Park,NYC Parks Concessionaire,Operational,"""Yes, in women's restroom only""",40.561117,-74.168707,"{'type': 'Point', 'coordinates': [-74.168707, 40.561117]}",1,75,9,30,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,12:00pm-10:00pm,,
Alley Athletic Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.740000,-73.734200,"{'type': 'Point', 'coordinates': [-73.7342, 40.74]}",3,63,16,63,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Stars & Stripes Playground,Park,NYC Parks,Operational,Yes,40.885560,-73.839200,"{'type': 'Point', 'coordinates': [-73.8392, 40.88556]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Levy Playground,Park,NYC Parks,Operational,Yes,40.633810,-74.129100,"{'type': 'Point', 'coordinates': [-74.1291, 40.63381]}",1,74,13,4,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Bush Terminal Park,Park,NYC Parks,Operational,Yes,40.653350,-74.019200,"{'type': 'Point', 'coordinates': [-74.0192, 40.65335]}",2,45,7,9,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Playground 286,Park,NYC Parks,Operational,Yes,40.590610,-73.938500,"{'type': 'Point', 'coordinates': [-73.9385, 40.59061]}",2,36,15,32,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Coney Island Beach Zone 7a,Park,NYC Parks,Operational,Yes,40.571670,-73.992300,"{'type': 'Point', 'coordinates': [-73.9923, 40.57167]}",2,35,45,21,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Spirit Playground,Park,NYC Parks,Operational,No,40.761390,-73.941300,"{'type': 'Point', 'coordinates': [-73.9413, 40.76139]}",3,72,33,39,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Long Island City Library, QPL",Library,QPL,Operational,Yes,40.757812,-73.939311,"{'type': 'Point', 'coordinates': [-73.939311, 40.757812]}",3,72,33,39,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/long-island-city'},
"Spring Creek Library, BPL",Library,BPL,Operational,Yes,40.653218,-73.885868,"{'type': 'Point', 'coordinates': [-73.885868, 40.653218]}",2,47,25,45,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/spring-creek'},
Equity Playground,Park,NYC Parks,Operational,Yes,40.691390,-73.853600,"{'type': 'Point', 'coordinates': [-73.8536, 40.69139]}",3,60,41,46,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
